post_label,post_url,post_category,page,date,observation_time_cst,cumulative_views,daily_views,account_new_follows,source,source_file
Egypt vs Argentina Prediction,https://www.facebook.com/photo?fbid=1431989122308645&set=a.638370738337158,Prediction campaign,Carlcare Service (EG),2026-07-06,2026-07-06 23:45,3243,3243,371,Meta Business Suite Object Insights Views chart,2026-07-21_EG_Egypt-vs-Argentina-Prediction_Daily-Views.csv
Egypt vs Argentina Prediction,https://www.facebook.com/photo?fbid=1431989122308645&set=a.638370738337158,Prediction campaign,Carlcare Service (EG),2026-07-07,2026-07-07 22:15,42111,38868,363,Meta Business Suite Object Insights Views chart,2026-07-21_EG_Egypt-vs-Argentina-Prediction_Daily-Views.csv
Egypt vs Argentina Prediction,https://www.facebook.com/photo?fbid=1431989122308645&set=a.638370738337158,Prediction campaign,Carlcare Service (EG),2026-07-08,2026-07-08 22:15,53542,11431,21,Meta Business Suite Object Insights Views chart,2026-07-21_EG_Egypt-vs-Argentina-Prediction_Daily-Views.csv
Egypt vs Argentina Prediction,https://www.facebook.com/photo?fbid=1431989122308645&set=a.638370738337158,Prediction campaign,Carlcare Service (EG),2026-07-09,2026-07-09 22:15,56952,3410,34,Meta Business Suite Object Insights Views chart,2026-07-21_EG_Egypt-vs-Argentina-Prediction_Daily-Views.csv
Egypt vs Argentina Prediction,https://www.facebook.com/photo?fbid=1431989122308645&set=a.638370738337158,Prediction campaign,Carlcare Service (EG),2026-07-10,2026-07-10 22:15,59199,2247,26,Meta Business Suite Object Insights Views chart,2026-07-21_EG_Egypt-vs-Argentina-Prediction_Daily-Views.csv
Egypt vs Argentina Prediction,https://www.facebook.com/photo?fbid=1431989122308645&set=a.638370738337158,Prediction campaign,Carlcare Service (EG),2026-07-11,2026-07-11 22:15,60556,1357,16,Meta Business Suite Object Insights Views chart,2026-07-21_EG_Egypt-vs-Argentina-Prediction_Daily-Views.csv
Egypt vs Argentina Prediction,https://www.facebook.com/photo?fbid=1431989122308645&set=a.638370738337158,Prediction campaign,Carlcare Service (EG),2026-07-12,2026-07-12 22:15,61531,975,9,Meta Business Suite Object Insights Views chart,2026-07-21_EG_Egypt-vs-Argentina-Prediction_Daily-Views.csv
Egypt vs Argentina Prediction,https://www.facebook.com/photo?fbid=1431989122308645&set=a.638370738337158,Prediction campaign,Carlcare Service (EG),2026-07-13,2026-07-13 22:15,62365,834,11,Meta Business Suite Object Insights Views chart,2026-07-21_EG_Egypt-vs-Argentina-Prediction_Daily-Views.csv
Egypt vs Argentina Prediction,https://www.facebook.com/photo?fbid=1431989122308645&set=a.638370738337158,Prediction campaign,Carlcare Service (EG),2026-07-14,2026-07-14 22:15,62978,613,13,Meta Business Suite Object Insights Views chart,2026-07-21_EG_Egypt-vs-Argentina-Prediction_Daily-Views.csv
Egypt vs Argentina Prediction,https://www.facebook.com/photo?fbid=1431989122308645&set=a.638370738337158,Prediction campaign,Carlcare Service (EG),2026-07-15,2026-07-15 22:15,63364,386,16,Meta Business Suite Object Insights Views chart,2026-07-21_EG_Egypt-vs-Argentina-Prediction_Daily-Views.csv
Egypt vs Argentina Prediction,https://www.facebook.com/photo?fbid=1431989122308645&set=a.638370738337158,Prediction campaign,Carlcare Service (EG),2026-07-16,2026-07-16 22:15,63677,313,291,Meta Business Suite Object Insights Views chart,2026-07-21_EG_Egypt-vs-Argentina-Prediction_Daily-Views.csv
Egypt vs Argentina Prediction,https://www.facebook.com/photo?fbid=1431989122308645&set=a.638370738337158,Prediction campaign,Carlcare Service (EG),2026-07-17,2026-07-17 22:15,63947,270,560,Meta Business Suite Object Insights Views chart,2026-07-21_EG_Egypt-vs-Argentina-Prediction_Daily-Views.csv
Egypt vs Argentina Prediction,https://www.facebook.com/photo?fbid=1431989122308645&set=a.638370738337158,Prediction campaign,Carlcare Service (EG),2026-07-18,2026-07-18 22:15,64198,251,464,Meta Business Suite Object Insights Views chart,2026-07-21_EG_Egypt-vs-Argentina-Prediction_Daily-Views.csv
Egypt vs Argentina Prediction,https://www.facebook.com/photo?fbid=1431989122308645&set=a.638370738337158,Prediction campaign,Carlcare Service (EG),2026-07-19,2026-07-19 22:15,64400,202,456,Meta Business Suite Object Insights Views chart,2026-07-21_EG_Egypt-vs-Argentina-Prediction_Daily-Views.csv
Egypt vs Argentina Prediction,https://www.facebook.com/photo?fbid=1431989122308645&set=a.638370738337158,Prediction campaign,Carlcare Service (EG),2026-07-20,2026-07-20 22:15,64640,240,470,Meta Business Suite Object Insights Views chart,2026-07-21_EG_Egypt-vs-Argentina-Prediction_Daily-Views.csv
Egypt vs Argentina Winners Announcement Reel,https://www.facebook.com/share/r/19ALSYUVV3/,Winner announcement,Carlcare Service (EG),2026-07-09,2026-07-09 23:48,386,386,34,Meta Business Suite Object Insights Views chart,2026-07-21_EG_Egypt-vs-Argentina-Winners-Announcement-Reel_Daily-Views.csv
